,Text,Emotion,Flag,Category,Flag_type,,,,,,,,,,,,,,,,,,,,
,I realize I was wrong to ignore your advice. I'll be more open to your suggestions in the future.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I really need more space sometimes. ,Angry,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I respect your boundaries and limitations.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I respect your boundaries.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I respect your need for alone time.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I respect your need for alone time.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I respect your need for personal space.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I respect your right to make decisions.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I respect your time and space.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I saw a new park opening nearby. Do you want to visit it?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I saw a really interesting article online today. I'll send you the link.,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I should have been more patient with you apologize for my impatience.,Sad,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I should have handled that situation more maturely. I'm sorry for my childish behavior.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I shouldn't have been so critical of you apologize for my harsh words.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I shouldn't have been so quick to judge you. I apologize for my unfair assumptions.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I shouldn't have blamed you for my frustrations. I'm sorry for taking it out on you.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I shouldn't have blamed you for my own mistakes. I'm sorry for shifting the blame.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I shouldn't have dismissed your feelings as unimportant. I'm sorry for not validating you.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I shouldn't have interrupted you. I'm sorry for not letting you express yourself fully.,Sad,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I shouldn't have reacted that way. I'll work on managing my emotions better.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I strive to be honest with you always.,Sad,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I support a fair and balanced relationship.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I support you in pursuing your dream career.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I support you in your choice.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I support your need for personal time.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I support your personal goal of learning to paint,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I take full responsibility for my behavior, and I'm committed to growing from this experience.",Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I take responsibility for my actions, and I want to make things right between us.",Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I take responsibility for my actions.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I take responsibility for my mistakes, and I'm committed to improving our relationship.",Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I take responsibility for my part in the argument. Let's work together to find a solution.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I take responsibility for my part in the misunderstanding. Let's work it out together.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I think I understand your point of view. ,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I think it is great that we like different things.  ,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I think it is my turn to walk the dog.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"I think the kids need to go to the doctor, what do you think?",Normal,Green_Flag,respect_and_appreciation,Neutral,,,,,,,,,,,,,,,,,,,,
,I think we should get the car washed this weekend.,Sad,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I told you that you could do it.  I always knew my girlfriend was talented. ,Happy,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I trust you completely when you go out with your friends.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I trust you completely.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I trust you completely.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I trust you to make the best decisions for us.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I trust you with my deepest thoughts.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I trust you.,Normal,Green_Flag,trusting,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I value honesty in our relationship.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I value our open dialogue.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I value you. ,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I want to help you achieve your dream of opening a bakery. ,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I want to stop. ,frustration,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I was out of line with my comments. I'm sorry for making you feel disrespected.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I was thinking about rearranging the furniture in the living room. What do you think?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I was thinking about volunteering at the local shelter. Want to join me?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm considering taking a photography course. Would you be interested?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm crazy about you.  You make my heart feel so full. ,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,I'm glad we talk openly about our comfort levels.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm glad you enjoy your photography class even though I don't join.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm glad you enjoy your yoga classes; they seem to really help you relax.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm glad you love doing your karate class even though I don't go with you.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm glad you're pursuing your photography passion.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm going to start a new hobby. Any suggestions?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm going to the gym after work. Do you need anything while I'm out?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm grateful for how we support each other’s goals.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm grateful for your forgiveness when I make mistakes.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm grateful we can talk things through without yelling.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm grateful you remembered to book our doctor appointments.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm grateful you remembered to pick up groceries.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm grateful you remembered to take out the trash.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm here to listen.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm planning to clean the house this weekend. Do you want to help?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm planning to cook dinner tonight. Do you have any preferences?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm planning to do some gardening this Saturday. Do you want to join me?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm planning to redecorate the bedroom. Any ideas?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm planning to visit my parents this weekend. Do you want to come along?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm proud of you.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm running to the store. Call if you think of anything we need.  ,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm so glad we worked on the budget together.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm so glad you arranged for a DD for tonight's party. ,Normal,Green_Flag,responsible_substance_use,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm so glad you take care of your health.,Normal,Green_Flag,responsible_substance_use,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm so proud of you for standing up for yourself in that meeting.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm so sorry I upset you. What can I do to make it better?,Sad,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm sorry for neglecting your needs. I'll make an effort to be more attentive.,frustration,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm sorry for not being supportive when you needed me. I'll be more attentive.,frustration,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm sorry for not being there for you when you needed me I will make sure to be more present.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm sorry for not keeping my promise. I'll work on being more reliable.,Sad,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm sorry for raising my voice during our argument; I should have stayed calm.,Sad,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm sorry I hurt your feelings. I wasn't thinking about my tone of voice.  ,Sad,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm thinking about getting a new book. Do you have any recommendations?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm thinking about starting a garden. What plants do you think we should grow?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm thinking about taking a short trip next month. Do you have any destination in mind?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,I'm thinking of trying a new recipe tonight. Want to join me in the kitchen?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,"I'm tired and grumpy right now, can we reschedule so I don't take it out on you?",Angry,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I'm trying to understand your point of view.  I'm just confused. ,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I've never been scared of you.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,I've never trusted someone as much as I trust you.  ,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"If you don't want to, I don't want to. ",Normal,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"If you want to go back to work, that's fine.",Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"In this family, we support each other's goals.",Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It doesn't matter that we have different hobbies.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It is awesome that you stood up for what’s right at work.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It means a lot that we share responsibilities equally.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It's great that you are cool with mer spending time with the guys.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It’s great that you have your own friends and hobbies.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It's okay for you to say no right now.,Normal,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It's okay for you to want different things than I do. ,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It's okay to disagree.  I value your opinion. ,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It's so easy to forgive you because I know you really mean it when you say sorry.,Happy,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It's the little things that show you care. ,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,It's wonderful that you have your own circle of friends.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Let me know it you want to stop.,Normal,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Let's discuss this. ,Disgust,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Let's go visit your family next break.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Let's look at our schedules together.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Let's take a walk after dinner. The weather is nice.,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Let's talk through this together.,frustration,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Look at your effort. The house looks great. ,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Looks like our joint efforts were successful.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Love is a balance.,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,Me still doing the stuff I love is important to me. ,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Most of my exes and I  shared many happy memories and parted on good terms.,Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,My ex-girlfriend and I parted ways amicably and wished each other well.,Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,My parents always listened to my concerns and offered thoughtful advice.,Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,My parents respect my privacy and personal space.,Happy,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"My parents treated each other with respect, setting a good example for me.",Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"My siblings and I always had each other’s backs, no matter what.",Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"Oh, you made my favorite,",Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,Our future looks bright. ,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Our relationship is give and take.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Our relationship is natural and feels right. ,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,Our relationship is solid.,Happy,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,Our spontaneous road trips are some of my favorite memories.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Our spontaneous weekend getaways are always so much fun.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Partners for life.  Kiss?,Happy,Green_Flag,sexual_boundaries,Healthy_love,,,,,,,,,,,,,,,,,,,,
,Should we buy tickets in advance for the concert next month?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,So we will both put twenty dollars into savings each week. ,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Tell me your ideas.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for always being considerate of my feelings.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for always being honest about your feelings.,Happy,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for always being open about your thoughts.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for always listening when I need to vent about my day.,frustration,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for always striving to understand my perspective.,frustration,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for being so calm.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for being transparent about your feelings.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for being transparent about your past.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for doing the grocery shopping this week.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for doing the laundry this week; it really helped me out.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for doing the laundry.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for handling the car repairs last week.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for helping me with the garden; it looks amazing.,Happy,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for helping with the dishes last night.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for loving me even on my bad days.,Sad,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for making dinner; I'll clean up.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for making dinner; I'll handle the dishes.,Normal,Green_Flag,respect_and_appreciation,Neutral,,,,,,,,,,,,,,,,,,,,
,Thank you for making everyday activities enjoyable.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for making everyday activities so enjoyable.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for making my favorite dinner last night.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for owning your part of the fight.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for taking care of everything when I was sick.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for taking care of the bills this month.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for taking care of the car maintenance last week.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for taking care of the yard work this weekend.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for taking the kids to school today.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for trusting me with your secrets.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for understanding my mistake and moving past it.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for understanding my mistakes and moving past them.,Sad,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for understanding my need for a quiet night in.,Happy,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you for understanding when I'm not in the mood.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thank you.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thanks for doing the dishes. You are amazing.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thanks for listening.  I love you. ,Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,Thanks for making sure the car got an oil change. ,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thanks for taking care of the kids so I could restI love you,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Thanks for understanding.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,That's a fair solution. ,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,That's fine. ,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,The trash is overflowing. Could you take it to the curb for me?,Angry,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,They always made time for family activities and bonding.,Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"They supported me in my decisions, even if they didn't always agree.",Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"Together, we can achieve anything.",Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"Together, we can handle anything that comes our way.",Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"Together, we can handle anything.",Normal,Green_Flag,respect_and_appreciation,Healthy_love,,,,,,,,,,,,,,,,,,,,
,Use the safe word if you decide you want to stop. ,Happy,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Want me to join you at the gym today?,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Want to cuddle?,Happy,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Watching movies with you is one of my favorite pastimes.,Normal,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We achieve great things as a team.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We achieve more as a team.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We achieve more together than we do apart.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We always find ways to enjoy each other’s company.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We always find ways to have fun together.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We always have so much fun together.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We are always kind to each other.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We balance each other out.,Normal,Green_Flag,trusting,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We both take responsibility for our actions.,Normal,Green_Flag,clear_communication,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We both value our individual time.,Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,We can go at your pace.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
